marigold,1
marjoram,1
mark,2
marriage,1
married,2
marvel,1
mask,2
masked,1
masonry,1
master,2
matcheth,1
matter,3
maturity,1
may,22
mayst,11
me,81
meadows,1
means,3
meant,1
measure,2
measured,1
medicine,1
meditation,1
meet,2
meetness,1
melancholy,1
memorial,1
memory,7
men,19
mend,3
mended,1
merchandiz,1
mercy,1
merit,5
merits,1
messengers,1
methinks,3
methods,1
metre,1
middle,1
might,22
mightier,1
mightst,2
miles,2
million,1
millions,1
mind,12
minded,1
minds,3
mine,36
minion,1
minutes,4
miracle,1
miscall,1
miser,1
misplac,1
misprision,1
miss,1
mistake,1
mistaking,1
mistress,6
misuse,1
mix,1
moan,4
mock,3
modern,1
moiety,1
moment,1
monarch,1
monsters,1
monument,2
monuments,1
moods,1
moon,3
more,41
morn,2
morning,2
morrow,3
mortal,5
mortality,1
mortgag,1
most,22
mother,4
motion,5
motley,1
mountain,2
mounted,1
mourn,3
mourners,2
mournful,1
mourning,1
mouthed,1
mouths,1
move,1
moving,2
mow,1
much,16
mud,1
murd,1
murderous,2
muse,1
music,4
must,19
mute,2
mutual,2
my,118
myself,12
n,3
naked,1
name,14
nature,10
ne,4
near,5
nearly,1
necessary,1
neck,1
need,6
needing,1
needs,3
needy,1
neglect,2
neglected,1
neigh,1
neither,1
nerves,1
never,14
new,19
newer,2
news,1
next,2
niggard,2
niggarding,1
night,16
nightly,2
nights,1
nimble,2
nine,1
no,41
nobler,1
none,11
noon,1
nor,18
not,93
note,2
noted,2
nothing,14
nought,3
nourish,1
novel,1
now,28
number,3
numbers,4
nurse,1
nursed,1
nurseth,1
nymphs,1
o,13
oaths,1
object,1
objects,2
oblation,1
oblivion,1
oblivious,1
obsequious,2
ocean,3
odour,3
odours,1
of,131
off,2
offence,3
offences,1
offend,1
offender,1
offenders,1
office,1
offices,1
oft,5
often,2
old,19
older,1
olives,1
on,56
once,9
one,21
only,5
onset,1
onward,1
onwards,1
open,2
oppress,2
oppression,1
or,25
ordering,1
orient,1
ornament,5
ornaments,1
orphans,1
other,14
others,12
our,12
out,15
outbraves,1
outcast,1
outgoing,1
outlive,3
outright,1
outstripp,1
outward,6
outworn,2
over,4
overthrow,1
overturn,1
ow,1
owe,1
owes,1
own,23
owner,1
owners,1
pace,3
page,1
paid,1
pain,5
painful,1
painted,5
painter,1
painting,3
palate,2
pale,2
paper,1
papers,1
parallels,1
pardon,1
part,17
partake,1
partial,1
particulars,1
partly,1
parts,6
party,1
pass,4
passed,1
passion,1
past,6
patent,1
patience,2
patient,1
pattern,2
paws,1
pay,3
paying,1
pays,2
peace,2
pearl,1
pebbled,1
peep,1
pen,10
penance,1
pencil,2
pent,2
penury,1
perceiv,2
perceive,1
perfect,3
perfection,2
perfumed,1
perfumes,2
perhaps,1
perish,1
perjur,2
permit,1
perpetual,2
perspective,1
persuade,1
perusal,1
petty,1
phoenix,1
phrase,1
physic,2
physician,1
physicians,1
pictur,1
picture,2
pied,1
pierc,1
pilgrimage,2
pine,2
pipe,1
pitch,2
pitied,1
pity,5
pitying,1
place,10
placed,1
plague,3
plagues,1
plain,1
plants,1
play,7
plea,3
plead,2
pleasant,1
please,4
pleased,1
pleasing,2
pleasure,10
pleasures,1
plight,1
plot,1
pluck,3
plus,1
